customer_id,age,gender,item_purchased,category,purchase_amount,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,previous_purchases,payment_method,frequency_of_purchases,age_group,purchase_frequency_days,estimated_clv,subscription_score,loyalty_score,customer_value_tier,purchase_norm,review_norm,previous_purchase_norm,subscription_numeric,customer_health_score,health_status,cluster,customer_segment
12,30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,10,Bank Transfer,Fortnightly,Young Adult,14,748,10,20,Silver,0.6000000000000001,0.9600000000000002,0.18367346938775508,1,58.71,Average,1,High-Spending Customers
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,37,Venmo,Fortnightly,Senior,14,2736,10,47,Premium,0.65,0.8,0.7346938775510203,1,74.04,Healthy,2,Premium Customers
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,31,PayPal,Weekly,Senior,7,1632,10,41,Gold,0.38750000000000007,0.8800000000000001,0.6122448979591836,1,61.47,Healthy,3,Loyal Customers
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,34,Debit Card,Weekly,Senior,7,1855,10,44,Gold,0.4125000000000001,0.8800000000000001,0.673469387755102,1,64.3,Healthy,3,Loyal Customers
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,8,PayPal,Monthly,Senior,30,729,10,18,Silver,0.7625,0.11999999999999988,0.14285714285714285,1,47.19,Average,1,High-Spending Customers
17,25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,44,Debit Card,Bi-Weekly,Young Adult,14,1620,10,54,Gold,0.2,0.6399999999999999,0.8775510204081631,1,57.13,Average,3,Loyal Customers
18,53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,36,Venmo,Quarterly,Middle-aged,90,1406,10,46,Gold,0.22500000000000003,0.8800000000000001,0.7142857142857142,1,58.03,Average,3,Loyal Customers
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,17,Cash,Weekly,Middle-aged,7,864,10,27,Silver,0.3500000000000001,0.8399999999999999,0.32653061224489793,1,50.6,Average,1,High-Spending Customers
20,66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,46,Debit Card,Bi-Weekly,Senior,14,4230,10,56,Premium,0.875,0.32000000000000006,0.9183673469387754,1,78.95,Healthy,2,Premium Customers
21,21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,50,Cash,Every 3 Months,Young Adult,90,2601,10,60,Premium,0.38750000000000007,0.11999999999999988,1.0,1,57.9,Average,3,Loyal Customers
22,31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,22,Debit Card,Quarterly,Young Adult,90,1426,10,32,Gold,0.525,0.6399999999999999,0.4285714285714285,1,56.66,Average,1,High-Spending Customers
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,32,Debit Card,Annually,Middle-aged,365,1221,10,42,Silver,0.21250000000000002,0.28000000000000025,0.6326530612244897,1,43.08,Average,3,Loyal Customers
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,40,Credit Card,Weekly,Young Adult,7,3608,10,50,Premium,0.8500000000000001,0.7600000000000002,0.7959183673469387,1,83.08,Excellent,2,Premium Customers
25,18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,16,Debit Card,Weekly,Young Adult,7,374,10,26,Bronze,0.025000000000000022,0.15999999999999992,0.3061224489795918,1,23.38,At Risk,0,At-Risk Customers
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,14,PayPal,Annually,Young Adult,365,375,10,24,Bronze,0.0625,0.44000000000000017,0.26530612244897955,1,29.26,At Risk,0,At-Risk Customers
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,13,Credit Card,Annually,Adult,365,280,10,23,Bronze,0.0,0.44000000000000017,0.24489795918367344,1,26.15,At Risk,0,At-Risk Customers
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,7,Bank Transfer,Every 3 Months,Middle-aged,90,448,10,17,Bronze,0.45000000000000007,1.0,0.12244897959183673,1,51.67,Average,1,High-Spending Customers
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,41,PayPal,Every 3 Months,Middle-aged,90,3948,10,51,Premium,0.925,0.7600000000000002,0.8163265306122448,1,86.69,Excellent,2,Premium Customers
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,14,Credit Card,Weekly,Young Adult,7,720,10,24,Silver,0.3500000000000001,0.6399999999999999,0.26530612244897955,1,44.76,Average,1,High-Spending Customers
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,16,Credit Card,Monthly,Middle-aged,30,527,10,26,Bronze,0.1375,0.8800000000000001,0.3061224489795918,1,42.28,Average,0,At-Risk Customers
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,45,Venmo,Monthly,Adult,30,3634,10,55,Premium,0.7375,0.8800000000000001,0.8979591836734693,1,84.04,Excellent,2,Premium Customers
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,37,Venmo,Annually,Adult,365,2546,10,47,Premium,0.5875,0.9600000000000002,0.7346938775510203,1,74.74,Healthy,2,Premium Customers
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,45,Cash,Quarterly,Middle-aged,90,1748,10,55,Gold,0.22500000000000003,0.32000000000000006,0.8979591836734693,1,52.34,Average,3,Loyal Customers
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,38,PayPal,Quarterly,Adult,90,3549,10,48,Premium,0.8875,0.8399999999999999,0.7551020408163265,1,84.95,Excellent,2,Premium Customers
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,48,Credit Card,Bi-Weekly,Middle-aged,14,1617,10,58,Gold,0.16250000000000003,0.6000000000000001,0.9591836734693877,1,57.28,Average,3,Loyal Customers
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,44,PayPal,Fortnightly,Adult,14,3105,10,54,Premium,0.6125,0.8399999999999999,0.8775510204081631,1,77.63,Healthy,2,Premium Customers
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,10,PayPal,Weekly,Adult,7,495,10,20,Bronze,0.3125,0.11999999999999988,0.18367346938775508,1,30.41,At Risk,0,At-Risk Customers
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.7,Yes,2-Day Shipping,Yes,44,Venmo,Every 3 Months,Young Adult,90,1665,10,54,Gold,0.21250000000000002,0.4800000000000002,0.8775510204081631,1,54.43,Average,3,Loyal Customers
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,18,Credit Card,Monthly,Senior,30,1140,10,28,Silver,0.5,0.6800000000000002,0.346938775510204,1,54.01,Average,1,High-Spending Customers
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,31,Debit Card,Quarterly,Senior,90,2432,10,41,Premium,0.7000000000000001,0.8399999999999999,0.6122448979591836,1,73.17,Healthy,2,Premium Customers
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,40,Venmo,Annually,Senior,365,1599,10,50,Gold,0.23750000000000004,0.8,0.7959183673469387,1,59.38,Average,3,Loyal Customers
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,15,PayPal,Annually,Young Adult,365,1600,10,25,Gold,1.0,0.6399999999999999,0.28571428571428564,1,71.37,Healthy,1,High-Spending Customers
44,25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,19,PayPal,Fortnightly,Young Adult,14,1380,10,29,Gold,0.6125,0.4800000000000002,0.36734693877551017,1,55.12,Average,1,High-Spending Customers
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,45,PayPal,Weekly,Adult,7,2438,10,55,Premium,0.4125000000000001,0.8399999999999999,0.8979591836734693,1,70.24,Healthy,2,Premium Customers
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,25,PayPal,Annually,Middle-aged,365,546,10,35,Bronze,0.012500000000000011,0.15999999999999992,0.4897959183673469,1,28.39,At Risk,0,At-Risk Customers
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,45,Cash,Quarterly,Middle-aged,90,1978,10,55,Gold,0.2875,0.15999999999999992,0.8979591836734693,1,51.64,Average,3,Loyal Customers
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,36,Cash,Weekly,Middle-aged,7,1998,10,46,Gold,0.42500000000000004,0.8,0.7142857142857142,1,64.43,Healthy,3,Loyal Customers
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,38,Cash,Monthly,Adult,30,2145,10,48,Gold,0.4375,0.08000000000000007,0.7551020408163265,1,51.75,Average,3,Loyal Customers
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,34,Debit Card,Bi-Weekly,Senior,14,1050,10,44,Silver,0.125,0.8399999999999999,0.673469387755102,1,52.0,Average,3,Loyal Customers
51,49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.7,Yes,Store Pickup,Yes,39,Debit Card,Bi-Weekly,Middle-aged,14,1120,10,49,Silver,0.10000000000000003,0.4800000000000002,0.7755102040816325,1,46.87,Average,3,Loyal Customers
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,7,Credit Card,Quarterly,Senior,90,472,10,17,Bronze,0.48750000000000004,0.8800000000000001,0.12244897959183673,1,50.77,Average,1,High-Spending Customers
53,42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,26,Credit Card,Weekly,Adult,7,540,10,36,Bronze,0.0,0.040000000000000036,0.510204081632653,1,26.11,At Risk,0,At-Risk Customers
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,35,Credit Card,Weekly,Young Adult,7,864,10,45,Silver,0.050000000000000044,0.56,0.693877551020408,1,44.02,Average,3,Loyal Customers
55,47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,35,Debit Card,Bi-Weekly,Middle-aged,14,3384,10,45,Premium,0.925,0.6800000000000002,0.693877551020408,1,81.42,Excellent,2,Premium Customers
56,40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,Yes,49,Credit Card,Annually,Adult,365,1400,10,59,Gold,0.10000000000000003,0.20000000000000018,0.9795918367346937,1,47.39,Average,3,Loyal Customers
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,46,Credit Card,Weekly,Adult,7,3431,10,56,Premium,0.6625000000000001,0.8800000000000001,0.9183673469387754,1,81.65,Excellent,2,Premium Customers
58,21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,17,Debit Card,Fortnightly,Young Adult,14,1152,10,27,Silver,0.55,0.7600000000000002,0.32653061224489793,1,57.0,Average,1,High-Spending Customers
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,29,Venmo,Monthly,Senior,30,1620,10,39,Gold,0.42500000000000004,0.6800000000000002,0.5714285714285714,1,57.74,Average,3,Loyal Customers
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,4,Debit Card,Weekly,Senior,7,395,10,14,Bronze,0.7375,0.8399999999999999,0.061224489795918366,1,58.14,Average,1,High-Spending Customers
61,50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4.0,Yes,Express,Yes,17,Cash,Weekly,Middle-aged,7,666,10,27,Silver,0.21250000000000002,0.6000000000000001,0.32653061224489793,1,40.3,Average,0,At-Risk Customers
62,55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,21,Credit Card,Every 3 Months,Middle-aged,90,1496,10,31,Gold,0.6000000000000001,0.8800000000000001,0.4081632653061224,1,63.84,Healthy,1,High-Spending Customers
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,31,Credit Card,Fortnightly,Young Adult,14,672,10,41,Silver,0.012500000000000011,0.52,0.6122448979591836,1,39.27,At Risk,3,Loyal Customers
64,33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,43,Credit Card,Weekly,Adult,7,3476,10,53,Premium,0.7375,0.08000000000000007,0.8571428571428571,1,66.81,Healthy,2,Premium Customers
65,65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,18,Debit Card,Fortnightly,Senior,14,1577,10,28,Gold,0.7875000000000001,0.9199999999999999,0.346938775510204,1,70.31,Healthy,1,High-Spending Customers
66,65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,44,Venmo,Every 3 Months,Senior,90,1620,10,54,Gold,0.2,0.9199999999999999,0.8775510204081631,1,62.73,Healthy,3,Loyal Customers
67,31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,3,Venmo,Every 3 Months,Young Adult,90,376,10,13,Bronze,0.925,0.8800000000000001,0.04081632653061225,1,65.82,Healthy,1,High-Spending Customers
68,45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,49,Debit Card,Monthly,Middle-aged,30,1650,10,59,Gold,0.16250000000000003,0.7600000000000002,0.9795918367346937,1,61.09,Healthy,3,Loyal Customers
69,57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,21,Cash,Every 3 Months,Middle-aged,90,1012,10,31,Silver,0.32500000000000007,0.56,0.4081632653061224,1,46.44,Average,3,Loyal Customers
70,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,5,Cash,Weekly,Middle-aged,7,420,10,15,Bronze,0.625,0.7600000000000002,0.08163265306122448,1,52.65,Average,1,High-Spending Customers
71,22,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,32,Debit Card,Every 3 Months,Young Adult,90,957,10,42,Silver,0.11250000000000004,0.6800000000000002,0.6326530612244897,1,47.08,Average,3,Loyal Customers
72,36,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,34,Bank Transfer,Annually,Adult,365,1680,10,44,Gold,0.3500000000000001,0.15999999999999992,0.673469387755102,1,47.4,Average,3,Loyal Customers
73,18,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,21,Bank Transfer,Every 3 Months,Young Adult,90,572,10,31,Bronze,0.07500000000000001,0.15999999999999992,0.4081632653061224,1,28.44,At Risk,0,At-Risk Customers
74,48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,43,Bank Transfer,Bi-Weekly,Middle-aged,14,3740,10,53,Premium,0.8125,0.08000000000000007,0.8571428571428571,1,69.81,Healthy,2,Premium Customers
75,49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,3,Cash,Monthly,Middle-aged,30,232,10,13,Bronze,0.4750000000000001,0.8,0.04081632653061225,1,46.22,Average,1,High-Spending Customers
76,64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,21,Credit Card,Annually,Senior,365,1870,10,31,Gold,0.8125,0.08000000000000007,0.4081632653061224,1,56.34,Average,1,High-Spending Customers
77,50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,32,Venmo,Monthly,Middle-aged,30,1419,10,42,Gold,0.2875,0.6800000000000002,0.6326530612244897,1,54.08,Average,3,Loyal Customers
78,22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,36,Debit Card,Fortnightly,Young Adult,14,1961,10,46,Gold,0.4125000000000001,0.32000000000000006,0.7142857142857142,1,54.33,Average,3,Loyal Customers
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,50,Venmo,Fortnightly,Middle-aged,14,4641,10,60,Premium,0.8875,0.8800000000000001,1.0,1,93.1,Excellent,2,Premium Customers
80,38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,43,Bank Transfer,Every 3 Months,Adult,90,4224,10,53,Premium,0.9500000000000002,0.040000000000000036,0.8571428571428571,1,74.51,Healthy,2,Premium Customers
81,19,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,3.8,Yes,Store Pickup,Yes,24,Credit Card,Every 3 Months,Young Adult,90,1800,10,34,Gold,0.65,0.52,0.4693877551020408,1,60.48,Healthy,1,High-Spending Customers
82,67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,Yes,Express,Yes,36,Credit Card,Every 3 Months,Senior,90,3552,10,46,Premium,0.9500000000000002,0.040000000000000036,0.7142857142857142,1,70.23,Healthy,2,Premium Customers
83,19,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4.0,Yes,2-Day Shipping,Yes,21,Credit Card,Every 3 Months,Young Adult,90,616,10,31,Bronze,0.10000000000000003,0.6000000000000001,0.4081632653061224,1,38.24,At Risk,0,At-Risk Customers
84,36,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,Yes,Standard,Yes,34,Bank Transfer,Weekly,Adult,7,1400,10,44,Gold,0.25,0.6399999999999999,0.673469387755102,1,53.0,Average,3,Loyal Customers
85,52,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,Yes,Standard,Yes,42,Bank Transfer,Every 3 Months,Middle-aged,90,1376,10,52,Gold,0.15000000000000002,0.7600000000000002,0.836734693877551,1,56.3,Average,3,Loyal Customers
86,53,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,2,Debit Card,Bi-Weekly,Middle-aged,14,285,10,12,Bronze,0.9375,0.8,0.02040816326530612,1,64.11,Healthy,1,High-Spending Customers
87,24,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,47,Cash,Bi-Weekly,Young Adult,14,1968,10,57,Gold,0.26250000000000007,0.4800000000000002,0.9387755102040816,1,58.26,Average,3,Loyal Customers
88,52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,44,Debit Card,Fortnightly,Middle-aged,14,2385,10,54,Premium,0.4125000000000001,0.4800000000000002,0.8775510204081631,1,62.43,Healthy,3,Loyal Customers
89,33,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,35,Credit Card,Monthly,Adult,30,1692,10,45,Gold,0.3375,0.40000000000000013,0.693877551020408,1,52.32,Average,3,Loyal Customers
90,47,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,15,Cash,Quarterly,Middle-aged,90,1328,10,25,Silver,0.7875000000000001,0.44000000000000017,0.28571428571428564,1,58.87,Average,1,High-Spending Customers
91,25,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,Yes,Express,Yes,29,Credit Card,Monthly,Young Adult,30,1440,10,39,Gold,0.3500000000000001,0.15999999999999992,0.5714285714285714,1,44.34,Average,3,Loyal Customers
92,44,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,Yes,Standard,Yes,18,Credit Card,Every 3 Months,Adult,90,1881,10,28,Gold,0.9875,0.8399999999999999,0.346938775510204,1,76.71,Healthy,1,High-Spending Customers
93,61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,13,Venmo,Every 3 Months,Senior,90,1218,10,23,Silver,0.8375000000000001,0.7600000000000002,0.24489795918367344,1,66.05,Healthy,1,High-Spending Customers
94,37,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,Yes,Standard,Yes,46,Credit Card,Weekly,Adult,7,2914,10,56,Premium,0.525,0.8,0.9183673469387754,1,74.55,Healthy,2,Premium Customers
95,58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,28,Credit Card,Weekly,Senior,7,2204,10,38,Gold,0.7000000000000001,0.8399999999999999,0.5510204081632653,1,71.33,Healthy,2,Premium Customers
96,37,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,48,PayPal,Monthly,Adult,30,4900,10,58,Premium,1.0,0.52,0.9591836734693877,1,89.18,Excellent,2,Premium Customers
97,32,Male,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.8,Yes,Express,Yes,43,Venmo,Every 3 Months,Adult,90,3212,10,53,Premium,0.6625000000000001,0.52,0.8571428571428571,1,72.61,Healthy,2,Premium Customers
98,21,Male,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,37,Cash,Annually,Young Adult,365,3496,10,47,Premium,0.9000000000000001,0.9199999999999999,0.7346938775510203,1,86.44,Excellent,2,Premium Customers
99,20,Male,Jeans,Clothing,67,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,20,Bank Transfer,Annually,Young Adult,365,1407,10,30,Gold,0.5875,0.040000000000000036,0.38775510204081626,1,45.93,Average,1,High-Spending Customers
100,26,Male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,Yes,Express,Yes,33,Debit Card,Quarterly,Young Adult,90,1360,10,43,Gold,0.25,0.4800000000000002,0.6530612244897959,1,49.19,Average,3,Loyal Customers
101,62,Male,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.7,Yes,Express,Yes,31,Cash,Fortnightly,Senior,14,3136,10,41,Premium,0.9750000000000001,0.08000000000000007,0.6122448979591836,1,68.97,Healthy,2,Premium Customers
102,27,Male,Coat,Outerwear,85,North Dakota,XL,White,Spring,4.6,Yes,Express,Yes,50,Credit Card,Bi-Weekly,Young Adult,14,4335,10,60,Premium,0.8125,0.8399999999999999,1.0,1,89.3,Excellent,2,Premium Customers
103,51,Male,Socks,Clothing,67,Oklahoma,L,Violet,Winter,4.8,Yes,Next Day Air,Yes,35,Credit Card,Quarterly,Middle-aged,90,2412,10,45,Premium,0.5875,0.9199999999999999,0.693877551020408,1,72.72,Healthy,2,Premium Customers
104,54,Male,Boots,Footwear,89,West Virginia,L,Red,Winter,4.0,Yes,Next Day Air,Yes,22,Venmo,Bi-Weekly,Middle-aged,14,2047,10,32,Gold,0.8625,0.6000000000000001,0.4285714285714285,1,69.36,Healthy,2,Premium Customers
105,55,Male,Sunglasses,Accessories,24,New Hampshire,L,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,1,PayPal,Monthly,Middle-aged,30,48,10,11,Bronze,0.050000000000000044,0.7600000000000002,0.0,1,27.2,At Risk,0,At-Risk Customers
